ID,UUID,Versao_Form,Status,Data_Inicio,Hora_Inicio,Data_Fim,Hora_Fim,Duracao_min,Municipio,Cod_IBGE,Comunidade,Cod_Com,Polo,Bloco,Supervisor,Pesquisador,Mobilizador,Latitude,Longitude,Precisao_GPS_m,Foto,Consentimento,Diario_Campo,Link_Evidencia,Upload_Data,Area,Genero,Idade,Escolaridade,Renda,Tempo_Residencia,Q1_QV,Q2_Saude,Q3_Educ,Q4_RelEmpresa,Q5_Prioridade,Q6_Preocupacao,Obs_Aberta
78,UUID-1078,v2.4,Completa,2026-04-16,09:21,2026-04-15,15:41,24,Pedra Branca,310008,Pedreira,PB08,Polo 2,B1,Paula,Júlia,Bruno,-18.4322187775791,-43.2427172497424,10,Sim,Sim,Sim,https://repo/evid/78.jpg,2026-04-29,Rural,M,35,Superior,2500,6,5,1,3,2,Educação,Saúde,
79,UUID-1079,v2.4,Completa,2026-04-18,14:15,2026-04-24,12:21,27,Serra Azul,310004,Barreiro,SZ04,Polo 1,B3,Paula,Júlia,Marcos,-18.763697422578,-43.3322138852013,19,Sim,Sim,Sim,https://repo/evid/79.jpg,2026-04-19,Urbana,M,18,Superior,4500,60,4,1,4,3,Emprego,Água,
80,UUID-1080,v2.4,Completa,2026-04-14,15:47,2026-04-21,14:44,38,Vale Verde,310003,Boa Vista,VV03,Polo 2,B2,Paula,Rafaela,Lia,-18.4744933437798,-43.4718268759268,16,Sim,Sim,Sim,https://repo/evid/80.jpg,2026-04-12,Urbana,F,48,Superior,4500,13,3,2,4,5,Educação,Emprego,
81,UUID-1081,v2.4,Completa,2026-04-28,15:05,2026-04-26,15:51,11,Serra Azul,310004,Barreiro,SZ04,Polo 4,B2,Paula,Pedro,Bruno,-18.4360888149013,-43.4412028010012,14,Sim,Sim,Sim,https://repo/evid/81.jpg,2026-04-10,Rural,M,63,Fundamental,1800,38,2,1,5,3,Saúde,Emprego,
82,UUID-1082,v2.4,Completa,2026-04-25,08:18,2026-04-23,10:49,16,Santa Aurora,310002,Lagoa,SA02,Polo 4,B3,João,Pedro,Bruno,-18.624354466198,-43.3172696458985,22,Sim,Sim,Sim,https://repo/evid/82.jpg,2026-04-14,Rural,F,77,Fundamental,4500,26,3,2,2,1,Água,Transporte,
83,UUID-1083,v2.4,Completa,2026-04-22,11:15,2026-04-24,13:09,25,São Miguel do Norte,310007,São José,SM07,Polo 2,B6,Marina,Ana,Marcos,-18.5807594015083,-43.2339465324861,5,Sim,Sim,Sim,https://repo/evid/83.jpg,2026-04-17,Urbana,F,52,Fundamental,4500,3,5,5,2,2,Saúde,Transporte,
84,UUID-1084,v2.4,Completa,2026-04-27,11:48,2026-04-11,10:32,26,Pedra Branca,310008,Pedreira,PB08,Polo 2,B6,Paula,Júlia,Marcos,-18.4020823257227,-43.3274680985631,15,Sim,Sim,Sim,https://repo/evid/84.jpg,2026-04-17,Rural,F,32,Superior,4500,15,5,3,4,1,Emprego,Transporte,
85,UUID-1085,v2.4,Completa,2026-04-21,14:50,2026-04-26,13:44,34,Pedra Branca,310008,Pedreira,PB08,Polo 4,B2,João,Pedro,Lia,-18.2455839027619,-43.5264811795878,12,Sim,Sim,Sim,https://repo/evid/85.jpg,2026-04-19,Urbana,M,21,Fundamental,4500,27,5,5,3,4,Emprego,Saúde,
86,UUID-1086,v2.4,Completa,2026-04-12,15:54,2026-04-21,09:34,20,Serra Azul,310004,Barreiro,SZ04,Polo 1,B3,João,Tiago,Marcos,-18.3970779550109,-43.1263795415105,11,Sim,Sim,Sim,https://repo/evid/86.jpg,2026-04-28,Urbana,M,39,Fundamental,2500,20,2,2,3,1,Educação,Água,
87,UUID-1087,v2.4,Completa,2026-04-17,16:20,2026-04-19,14:29,42,Serra Azul,310004,Barreiro,SZ04,Polo 3,B3,João,Júlia,Marcos,-18.117188047638,-43.5339959330961,20,Sim,Sim,Sim,https://repo/evid/87.jpg,2026-04-20,Urbana,M,43,Médio,3200,3,3,2,2,3,Educação,Saúde,
88,UUID-1088,v2.4,Completa,2026-04-20,11:24,2026-04-28,11:31,29,Vale Verde,310003,Boa Vista,VV03,Polo 3,B4,Paula,Tiago,Marcos,-18.5094044174192,-43.8317663540485,16,Sim,Sim,Sim,https://repo/evid/88.jpg,2026-04-15,Urbana,M,30,Fundamental,4500,42,2,5,2,1,Saúde,Emprego,
89,UUID-1089,v2.4,Completa,2026-04-17,09:45,2026-04-14,08:13,40,São Miguel do Norte,310007,São José,SM07,Polo 4,B3,Marina,Rafaela,Marcos,-18.3332452704467,-43.3834806389157,20,Sim,Sim,Sim,https://repo/evid/89.jpg,2026-04-25,Urbana,F,26,Superior,4500,27,2,1,4,5,Água,Emprego,
90,UUID-1090,v2.4,Completa,2026-04-15,09:58,2026-04-13,16:09,23,São Miguel do Norte,310007,São José,SM07,Polo 2,B5,Paula,Júlia,Bruno,-18.7326752633234,-43.6031035775019,16,Sim,Sim,Sim,https://repo/evid/90.jpg,2026-04-22,Rural,F,69,Superior,1800,20,2,1,2,4,Educação,Transporte,
91,UUID-1091,v2.4,Completa,2026-04-10,10:05,2026-04-25,14:41,29,Pedra Branca,310008,Pedreira,PB08,Polo 1,B5,Marina,Carlos,Lia,-18.0987270409754,-43.3077122875485,23,Sim,Sim,Sim,https://repo/evid/91.jpg,2026-04-25,Rural,F,21,Fundamental,2500,58,2,2,4,1,Emprego,Água,
92,UUID-1092,v2.4,Completa,2026-04-12,12:10,2026-04-28,11:36,32,São Miguel do Norte,310007,São José,SM07,Polo 3,B4,Paula,Carlos,Marcos,-18.2758364299057,-43.4992071483623,16,Sim,Sim,Sim,https://repo/evid/92.jpg,2026-04-11,Urbana,M,77,Fundamental,1200,22,5,3,2,3,Educação,Transporte,
93,UUID-1093,v2.4,Completa,2026-04-27,14:27,2026-04-15,17:42,32,Serra Azul,310004,Barreiro,SZ04,Polo 1,B5,João,Carlos,Marcos,-18.9264933162776,-43.7320279691054,17,Sim,Sim,Sim,https://repo/evid/93.jpg,2026-04-14,Rural,M,40,Médio,1200,6,2,3,5,3,Água,Emprego,
94,UUID-1094,v2.4,Completa,2026-04-15,14:28,2026-04-27,16:32,34,Vale Verde,310003,Boa Vista,VV03,Polo 1,B1,Marina,Júlia,Marcos,-18.9069357395401,-43.4019562022057,15,Sim,Sim,Sim,https://repo/evid/94.jpg,2026-04-22,Urbana,M,23,Médio,3200,50,2,5,3,5,Emprego,Transporte,
95,UUID-1095,v2.4,Completa,2026-04-18,12:17,2026-04-25,10:04,18,Vale Verde,310003,Boa Vista,VV03,Polo 4,B3,João,Júlia,Bruno,-18.2173333758345,-43.6388750877105,12,Sim,Sim,Sim,https://repo/evid/95.jpg,2026-04-25,Urbana,M,26,Fundamental,1800,20,2,4,4,5,Educação,Saúde,
96,UUID-1096,v2.4,Completa,2026-04-23,10:19,2026-04-20,17:44,20,Pedra Branca,310008,Pedreira,PB08,Polo 4,B3,Marina,Pedro,Bruno,-18.70855184842,-43.3050422323279,20,Sim,Sim,Sim,https://repo/evid/96.jpg,2026-04-28,Urbana,M,39,Médio,2500,53,5,3,2,5,Emprego,Água,
97,UUID-1097,v2.4,Completa,2026-04-24,11:28,2026-04-19,09:52,34,Rio Claro,310001,Centro,RC01,Polo 4,B2,Paula,Júlia,Lia,-18.7473183150689,-43.8458567655441,18,Sim,Sim,Sim,https://repo/evid/97.jpg,2026-04-22,Urbana,M,78,Superior,3200,38,5,5,5,5,Saúde,Saúde,
98,UUID-1098,v2.4,Completa,2026-04-17,13:10,2026-04-11,17:41,33,Santa Aurora,310002,Lagoa,SA02,Polo 3,B4,Marina,Ana,Lia,-18.7412616295963,-43.489323759475,21,Sim,Sim,Sim,https://repo/evid/98.jpg,2026-04-27,Urbana,M,24,Médio,3200,30,3,3,2,4,Saúde,Saúde,
99,UUID-1099,v2.3,Completa,2026-04-12,09:53,2026-04-14,13:19,29,São Miguel do Norte,310007,São José,SM07,Polo 4,B2,Paula,Pedro,Bruno,-18.5238374687908,-43.561834061727,19,Sim,Sim,Sim,https://repo/evid/99.jpg,2026-04-20,Urbana,M,76,Fundamental,1200,2,4,1,3,2,Emprego,Água,
100,UUID-1100,v2.3,Completa,2026-04-23,15:14,2026-04-22,10:11,35,Lagoa Nova,310006,Córrego,LN06,Polo 4,B1,Paula,Rafaela,Lia,-18.5504249886259,-43.5704471588967,5,Sim,Sim,Sim,https://repo/evid/100.jpg,2026-04-16,Urbana,M,53,Superior,1200,37,2,5,3,3,Água,Água,
101,UUID-1101,v2.3,Completa,2026-04-18,15:33,2026-04-20,17:24,33,Pedra Branca,310008,Pedreira,PB08,Polo 1,B3,João,Pedro,Marcos,-18.8274724869897,-43.3264111376853,14,Sim,Sim,Sim,https://repo/evid/101.jpg,2026-04-29,Urbana,F,25,Médio,1200,16,4,1,3,3,Emprego,Transporte,
102,UUID-1102,v2.3,Completa,2026-04-14,14:27,2026-04-15,15:40,42,São Miguel do Norte,310007,São José,SM07,Polo 2,B5,Marina,Pedro,Bruno,-18.8597034649022,-43.6854199853392,19,Sim,Sim,Sim,https://repo/evid/102.jpg,2026-04-29,Urbana,M,56,Fundamental,3200,9,3,4,5,4,Educação,Transporte,
103,UUID-1103,v2.3,Completa,2026-04-15,09:36,2026-04-10,11:18,10,Pedra Branca,310008,Pedreira,PB08,Polo 3,B2,Paula,Júlia,Lia,-18.21925980257,-43.4343495388141,20,Sim,Sim,Sim,https://repo/evid/103.jpg,2026-04-27,Urbana,F,49,Médio,4500,53,4,5,2,4,Emprego,Transporte,
104,UUID-1104,v2.3,Completa,2026-04-17,12:55,2026-04-11,15:16,30,Santa Aurora,310002,Lagoa,SA02,Polo 1,B4,Marina,Carlos,Lia,-18.1892972831606,-43.4120761030232,16,Sim,Sim,Sim,https://repo/evid/104.jpg,2026-04-29,Rural,F,65,Superior,1800,51,3,2,2,5,Água,Saúde,
105,UUID-1105,v2.3,Completa,2026-04-19,12:36,2026-04-18,16:57,14,Vale Verde,310003,Boa Vista,VV03,Polo 2,B4,Marina,Júlia,Marcos,-18.8731118313862,-43.1339212050089,12,Sim,Sim,Sim,https://repo/evid/105.jpg,2026-04-14,Rural,F,38,Superior,3200,32,3,5,4,4,Educação,Transporte,
106,UUID-1106,v2.3,Completa,2026-04-12,14:32,2026-04-18,13:29,39,Santa Aurora,310002,Lagoa,SA02,Polo 3,B5,Marina,Tiago,Lia,-18.269068062513,-43.5415507433203,16,Sim,Sim,Sim,https://repo/evid/106.jpg,2026-04-12,Rural,F,58,Médio,1800,32,4,3,4,3,Emprego,Transporte,
107,UUID-1107,v2.3,Completa,2026-04-11,08:06,2026-04-24,08:07,18,Lagoa Nova,310006,Córrego,LN06,Polo 4,B4,Marina,Pedro,Lia,-18.0043059312657,-43.0905927856869,25,Sim,Sim,Sim,https://repo/evid/107.jpg,2026-04-19,Urbana,M,75,Fundamental,2500,17,2,3,3,1,Educação,Saúde,
108,UUID-1108,v2.3,Completa,2026-04-12,09:00,2026-04-16,15:04,16,Serra Azul,310004,Barreiro,SZ04,Polo 2,B5,Paula,Pedro,Lia,-18.9919374309808,-43.6564258499659,8,Sim,Sim,Sim,https://repo/evid/108.jpg,2026-04-23,Urbana,M,45,Fundamental,1800,25,2,1,2,3,Água,Saúde,
109,UUID-1109,v2.3,Completa,2026-04-14,10:04,2026-04-26,17:00,18,Vale Verde,310003,Boa Vista,VV03,Polo 4,B3,Paula,Carlos,Marcos,-18.2517311636256,-43.0801058753453,24,Sim,Sim,Sim,https://repo/evid/109.jpg,2026-04-24,Urbana,F,42,Fundamental,1800,49,2,5,5,3,Educação,Saúde,
110,UUID-1110,v2.3,Completa,2026-04-18,09:15,2026-04-27,17:38,26,Vale Verde,310003,Boa Vista,VV03,Polo 1,B6,João,Carlos,Marcos,-18.393073130328,-43.8113534767341,17,Sim,Sim,Sim,https://repo/evid/110.jpg,2026-04-19,Urbana,F,33,Médio,3200,8,3,4,2,5,Saúde,Saúde,
111,UUID-1111,v2.3,Completa,2026-04-22,14:23,2026-04-27,10:48,38,Lagoa Nova,310006,Córrego,LN06,Polo 1,B1,Paula,Ana,Lia,-18.7378147228379,-43.9601731380628,6,Sim,Sim,Sim,https://repo/evid/111.jpg,2026-04-22,Rural,M,26,Médio,3200,6,3,3,2,3,Saúde,Água,
112,UUID-1112,v2.3,Completa,2026-04-20,14:37,2026-04-12,12:44,35,Vale Verde,310003,Boa Vista,VV03,Polo 2,B1,Marina,Ana,Bruno,-18.8840134184556,-43.3877032055793,6,Sim,Sim,Sim,https://repo/evid/112.jpg,2026-04-19,Urbana,F,52,Fundamental,1800,45,2,2,5,3,Água,Água,
113,UUID-1113,v2.3,Completa,2026-04-18,09:49,2026-04-10,13:51,35,Lagoa Nova,310006,Córrego,LN06,Polo 3,B5,Marina,Júlia,Marcos,-18.0249494122218,-43.3724671671013,20,Sim,Sim,Sim,https://repo/evid/113.jpg,2026-04-24,Rural,F,26,Médio,4500,11,4,2,4,1,Saúde,Água,
114,UUID-1114,v2.3,Completa,2026-04-10,11:02,2026-04-25,13:24,17,Rio Claro,310001,Centro,RC01,Polo 2,B1,Paula,Tiago,Marcos,-18.3442967055785,-43.7754846861824,12,Sim,Sim,Sim,https://repo/evid/114.jpg,2026-04-23,Rural,M,20,Fundamental,4500,24,2,5,2,2,Emprego,Emprego,
115,UUID-1115,v2.3,Completa,2026-04-24,12:49,2026-04-19,13:05,37,São Miguel do Norte,310007,São José,SM07,Polo 1,B3,Marina,Júlia,Marcos,-18.2154927827127,-43.2604240132666,12,Sim,Sim,Sim,https://repo/evid/115.jpg,2026-04-24,Rural,M,22,Fundamental,4500,49,3,2,2,4,Saúde,Água,
116,UUID-1116,v2.3,Completa,2026-04-10,13:00,2026-04-22,12:06,21,Lagoa Nova,310006,Córrego,LN06,Polo 2,B4,João,Ana,Lia,-18.2883475252999,-43.9069733616419,12,Sim,Sim,Sim,https://repo/evid/116.jpg,2026-04-26,Rural,M,58,Médio,1200,38,2,5,3,4,Saúde,Emprego,
117,UUID-1117,v2.3,Completa,2026-04-14,11:18,2026-04-18,13:59,33,São Miguel do Norte,310007,São José,SM07,Polo 3,B3,João,Júlia,Lia,-18.9253125641975,-43.7972873737208,23,Sim,Sim,Sim,https://repo/evid/117.jpg,2026-04-13,Urbana,F,60,Fundamental,3200,30,4,4,2,5,Água,Água,
118,UUID-1118,v2.3,Completa,2026-04-24,12:54,2026-04-13,09:10,27,Pedra Branca,310008,Pedreira,PB08,Polo 1,B2,João,Carlos,Lia,-18.2888426017149,-43.0315999958236,17,Sim,Sim,Sim,https://repo/evid/118.jpg,2026-04-26,Urbana,M,37,Médio,1800,2,5,4,3,1,Educação,Emprego,
119,UUID-1118,v2.3,Completa,2026-04-24,12:54,2026-04-13,09:10,27,Pedra Branca,310008,Pedreira,PB08,Polo 1,B2,João,Carlos,Lia,-18.2888426017149,-43.0315999958236,17,Sim,Sim,Sim,https://repo/evid/118.jpg,2026-04-26,Urbana,M,37,Médio,1800,2,5,4,3,1,Educação,Emprego,
120,UUID-1120,v2.4,Completa,2026-04-28,14:52,2026-04-22,15:01,32,Rio Claro,310001,Centro,RC01,Polo 4,B2,João,Carlos,Lia,-18.7250182309758,-43.5539885693533,9,Sim,Sim,Sim,https://repo/evid/120.jpg,2026-04-11,Urbana,M,28,Médio,3200,57,5,1,2,3,Educação,Água,
121,UUID-1121,v2.4,Completa,2026-04-26,11:40,2026-04-27,08:24,30,São Miguel do Norte,310007,São José,SM07,Polo 4,B5,João,Júlia,Marcos,-18.4976067444563,-43.6116187254307,10,Sim,Sim,Sim,https://repo/evid/121.jpg,2026-04-10,Rural,F,30,Fundamental,2500,4,5,5,4,5,Emprego,Água,
122,UUID-1122,v2.4,Completa,2026-04-17,12:34,2026-04-11,11:36,32,Santa Aurora,310002,Lagoa,SA02,Polo 3,B2,Marina,Carlos,Marcos,-18.6819956317081,-43.2618948988793,16,Sim,Sim,Sim,https://repo/evid/122.jpg,2026-04-28,Urbana,M,33,Superior,4500,10,3,4,4,2,Educação,Emprego,
123,UUID-1123,v2.4,Completa,2026-04-17,11:01,2026-04-26,15:00,29,Santa Aurora,310002,Lagoa,SA02,Polo 2,B2,João,Tiago,Lia,-18.0812192126928,-43.1557159135624,15,Sim,Sim,Sim,https://repo/evid/123.jpg,2026-04-11,Urbana,F,21,Superior,1800,50,2,5,4,1,Água,Transporte,
124,UUID-1124,v2.4,Completa,2026-04-19,13:08,2026-04-15,14:50,39,Santa Aurora,310002,Lagoa,SA02,Polo 3,B2,Paula,Rafaela,Marcos,-18.1103997831878,-43.386291013755,16,Sim,Sim,Sim,https://repo/evid/124.jpg,2026-04-17,Urbana,M,39,Médio,2500,9,3,1,5,5,Saúde,Água,
125,UUID-1125,v2.4,Completa,2026-04-17,09:59,2026-04-25,10:21,12,Lagoa Nova,310006,Córrego,LN06,Polo 2,B3,João,Carlos,Marcos,-18.1146797466049,-43.9112739874299,25,Sim,Sim,Sim,https://repo/evid/125.jpg,2026-04-20,Rural,F,76,Médio,1800,16,2,3,4,1,Saúde,Emprego,
126,UUID-1126,v2.4,Completa,2026-04-23,10:56,2026-04-23,15:56,32,São Miguel do Norte,310007,São José,SM07,Polo 3,B5,João,Ana,Bruno,-18.2112700055238,-43.4219445090669,12,Sim,Sim,Sim,https://repo/evid/126.jpg,2026-04-15,Rural,F,46,Fundamental,2500,2,4,3,2,1,Água,Água,
127,UUID-1127,v2.4,Completa,2026-04-12,16:57,2026-04-12,13:38,38,São Miguel do Norte,310007,São José,SM07,Polo 1,B4,Paula,Carlos,Marcos,-18.110246729596,-43.8428962226692,8,Sim,Sim,Sim,https://repo/evid/127.jpg,2026-04-20,Urbana,F,28,Médio,4500,47,4,3,4,2,Saúde,Emprego,
128,UUID-1128,v2.4,Completa,2026-04-27,15:09,2026-04-11,13:00,35,São Miguel do Norte,310007,São José,SM07,Polo 1,B3,Paula,Tiago,Marcos,-18.5196716025496,-43.9030131025185,11,Sim,Sim,Sim,https://repo/evid/128.jpg,2026-04-15,Rural,F,54,Médio,1200,20,5,4,5,3,Saúde,Transporte,
129,UUID-1129,v2.4,Completa,2026-04-22,13:11,2026-04-24,08:16,36,Vale Verde,310003,Boa Vista,VV03,Polo 4,B3,Marina,Júlia,Marcos,-18.9383606303399,-43.2477648578847,8,Sim,Sim,Sim,https://repo/evid/129.jpg,2026-04-12,Rural,M,41,Superior,1800,36,2,4,5,5,Educação,Água,
130,UUID-1130,v2.4,Completa,2026-04-12,14:57,2026-04-11,16:36,41,Pedra Branca,310008,Pedreira,PB08,Polo 2,B1,João,Carlos,Lia,-18.0278351216622,-43.1915392786806,9,Sim,Sim,Sim,https://repo/evid/130.jpg,2026-04-11,Rural,F,37,Superior,3200,13,3,5,4,3,Saúde,Emprego,
131,UUID-1131,v2.4,Completa,2026-04-22,16:20,2026-04-18,16:29,8,São Miguel do Norte,310007,São José,SM07,Polo 4,B1,João,Carlos,Lia,-18.4334060729449,-43.4173229131224,8,Sim,Sim,Sim,https://repo/evid/131.jpg,2026-04-13,Urbana,M,53,Superior,2500,57,5,3,5,4,Educação,Emprego,
132,UUID-1132,v2.4,Completa,2026-04-22,10:39,2026-04-22,08:25,29,Vale Verde,310003,Boa Vista,VV03,Polo 2,B1,Paula,Pedro,Bruno,-18.1029686378506,-43.9797671114067,14,Sim,Sim,Sim,https://repo/evid/132.jpg,2026-04-19,Rural,M,35,Superior,1200,56,3,2,4,4,Água,Saúde,
133,UUID-1133,v2.4,Completa,2026-04-12,11:28,2026-04-16,14:47,39,São Miguel do Norte,310007,São José,SM07,Polo 3,B1,Paula,Carlos,Lia,-18.6888769067111,-43.4932047247634,9,Sim,Sim,Sim,https://repo/evid/133.jpg,2026-04-26,Urbana,F,56,Fundamental,1800,54,2,2,2,4,Saúde,Saúde,
134,UUID-1134,v2.4,Completa,2026-04-21,15:32,2026-04-22,09:43,9,Serra Azul,310004,Barreiro,SZ04,Polo 2,B3,João,Rafaela,Bruno,-18.8224163058361,-43.1295192280815,23,Sim,Sim,Sim,https://repo/evid/134.jpg,2026-04-27,Rural,M,35,Fundamental,2500,48,2,3,2,4,Saúde,Água,
135,UUID-1135,v2.4,Completa,2026-04-17,11:43,2026-04-16,12:41,34,Serra Azul,310004,Barreiro,SZ04,Polo 1,B6,Marina,Pedro,Lia,-18.352628445825,-43.3988580495055,5,Sim,Sim,Sim,https://repo/evid/135.jpg,2026-04-17,Rural,M,72,Superior,2500,28,5,3,5,3,Emprego,Transporte,
136,UUID-1136,v2.4,Completa,2026-04-26,14:37,2026-04-13,08:32,31,Boa Esperança,310005,Santa Rita,BE05,Polo 3,B3,Paula,Ana,Bruno,-18.9361629461029,-43.0116390341782,25,Sim,Sim,Sim,https://repo/evid/136.jpg,2026-04-20,Rural,M,61,Superior,2500,13,3,5,3,1,Educação,Saúde,
137,UUID-1137,v2.4,Completa,2026-04-10,15:18,2026-04-18,14:25,32,Vale Verde,310003,Boa Vista,VV03,Polo 1,B5,Paula,Rafaela,Lia,-18.6568329503644,-43.2866307107928,22,Sim,Sim,Sim,https://repo/evid/137.jpg,2026-04-25,Rural,M,64,Fundamental,4500,12,4,1,5,2,Água,Água,
138,UUID-1138,v2.4,Completa,2026-04-12,11:22,2026-04-17,12:26,29,Lagoa Nova,310006,Córrego,LN06,Polo 3,B3,Paula,Júlia,Bruno,-18.1487861117886,-43.5294634323293,25,Sim,Sim,Sim,https://repo/evid/138.jpg,2026-04-28,Urbana,M,59,Fundamental,4500,8,5,5,4,4,Saúde,Água,
139,UUID-1139,v2.4,Completa,2026-04-20,14:36,2026-04-24,10:20,19,Vale Verde,310003,Boa Vista,VV03,Polo 1,B4,João,Fulano,Lia,-18.6865859282427,-43.9419864117748,19,Sim,Sim,Sim,https://repo/evid/139.jpg,2026-04-18,Urbana,F,30,Superior,1800,32,2,2,5,4,Educação,Transporte,
140,UUID-1140,v2.4,Completa,2026-04-10,08:34,2026-04-16,13:00,28,Pedra Branca,310008,Pedreira,PB08,Polo 2,B1,Supervisor X,Ana,Marcos,-18.2663967590867,-43.7737342887109,16,Sim,Sim,Sim,https://repo/evid/140.jpg,2026-04-19,Urbana,F,42,Médio,4500,38,4,2,2,1,Água,Saúde,
141,UUID-1141,v2.4,Completa,2026-04-26,16:21,2026-04-23,10:21,39,Pedra Branca,310008,Pedreira,PB08,Polo 3,B2,Marina,Pedro,Lia,-18.7715817151642,-43.2728311718637,9,Sim,Sim,Sim,https://repo/evid/141.jpg,2026-04-16,Urbana,F,64,Fundamental,2500,46,2,4,4,5,Saúde,Emprego,
142,UUID-1142,v2.4,Completa,2026-04-10,08:44,2026-04-13,14:28,32,Santa Aurora,310002,Lagoa,SA02,Polo 1,B5,João,Pedro,Marcos,-18.8468729018756,-43.3048079707791,25,Sim,Sim,Sim,https://repo/evid/142.jpg,2026-04-10,Rural,M,59,Superior,1200,43,4,5,3,4,Saúde,Emprego,
143,UUID-1143,v2.4,Completa,2026-04-13,15:12,2026-04-16,12:53,41,Boa Esperança,310005,Santa Rita,BE05,Polo 2,B3,Paula,Pedro,Bruno,-18.8396264013692,-43.4518612362716,11,Sim,Sim,Sim,https://repo/evid/143.jpg,2026-04-25,Rural,F,25,Fundamental,1200,43,2,1,5,2,Saúde,Emprego,
144,UUID-1144,v2.4,Completa,2026-04-18,11:29,2026-04-19,12:29,11,Santa Aurora,310002,Lagoa,SA02,Polo 1,B2,Marina,Júlia,Bruno,-18.1984038973096,-43.6872928930372,8,Sim,Sim,Sim,https://repo/evid/144.jpg,2026-04-13,Urbana,F,75,Fundamental,1800,22,4,4,4,1,Água,Saúde,
145,UUID-1145,v2.4,Completa,2026-04-22,14:29,2026-04-18,14:44,38,Vale Verde,310003,Boa Vista,VV03,Polo 4,B6,Marina,Ana,Lia,-18.3038301264762,-43.9413536043348,10,Sim,Sim,Sim,https://repo/evid/145.jpg,2026-04-13,Rural,M,25,Superior,3200,12,5,3,2,2,Educação,Transporte,
146,UUID-1146,v2.4,Completa,2026-04-23,15:02,2026-04-12,12:41,28,Santa Aurora,310002,Lagoa,SA02,Polo 1,B6,Paula,Rafaela,Marcos,-18.4233509918766,-43.4349877743126,15,Sim,Sim,Sim,https://repo/evid/146.jpg,2026-04-26,Urbana,M,74,Superior,1800,31,4,4,3,5,Saúde,Emprego,
147,UUID-1147,v2.4,Completa,2026-04-25,15:55,2026-04-15,09:48,39,Vale Verde,310003,Boa Vista,VV03,Polo 3,B2,João,Júlia,Lia,-18.4930706678129,-43.4495044302693,17,Sim,Sim,Sim,https://repo/evid/147.jpg,2026-04-22,Urbana,F,50,Médio,3200,52,5,1,5,4,Água,Emprego,
148,UUID-1148,v2.4,Completa,2026-04-10,09:25,2026-04-23,08:35,8,Pedra Branca,310008,Pedreira,PB08,Polo 1,B5,Paula,Tiago,Bruno,-18.1098891011749,-43.437667427906,25,Sim,Sim,Sim,https://repo/evid/148.jpg,2026-04-24,Rural,M,65,Fundamental,1800,55,5,3,5,3,Educação,Emprego,
149,UUID-1149,v2.4,Completa,2026-04-17,08:21,2026-04-21,12:35,1,Santa Aurora,310002,Lagoa,SA02,Polo 3,B6,Marina,Ana,Lia,-18.5075778578188,-43.1781613400813,18,Sim,Sim,Sim,https://repo/evid/149.jpg,2026-04-13,Rural,F,66,Fundamental,1200,60,5,2,5,2,Água,Emprego,
150,UUID-1150,v2.4,Completa,2026-04-28,09:49,2026-04-24,15:42,190,São Miguel do Norte,310007,São José,SM07,Polo 2,B4,Marina,Rafaela,Marcos,-18.9514283943681,-43.0646917191683,23,Sim,Sim,Sim,https://repo/evid/150.jpg,2026-04-25,Urbana,F,20,Superior,1800,7,5,5,4,5,Educação,Transporte,
151,UUID-1151,v2.4,Completa,2026-04-22,13:18,2026-04-24,10:08,34,Serra Azul,310004,Barreiro,SZ04,Polo 3,B6,Paula,Júlia,Marcos,-18.2631813516057,-43.446418437119,11,Sim,Sim,Sim,https://repo/evid/151.jpg,2026-04-16,Urbana,M,35,Superior,2500,59,3,2,4,1,Água,Transporte,
152,UUID-1152,v2.4,Completa,2026-04-27,12:56,2026-04-23,08:33,14,São Miguel do Norte,310007,São José,SM07,Polo 1,B4,Marina,Ana,Marcos,-18.9433952257044,-43.7330217305557,10,Sim,Sim,Sim,https://repo/evid/152.jpg,2026-04-19,Rural,F,61,Fundamental,2500,14,2,3,5,1,Emprego,Transporte,
153,UUID-1153,v2.4,Completa,2026-04-19,08:59,2026-04-22,14:26,28,Serra Azul,310004,Barreiro,SZ04,Polo 1,B1,Paula,Júlia,Lia,-18.3794383043882,-43.2190751071241,19,Sim,Sim,Sim,https://repo/evid/153.jpg,2026-04-17,Rural,F,50,Superior,1800,19,5,2,2,2,Emprego,Emprego,
154,UUID-1154,v2.4,Completa,2026-04-23,12:35,2026-04-18,10:10,24,São Miguel do Norte,310007,São José,SM07,Polo 1,B3,João,Tiago,Lia,-18.9600594106786,-43.0713717615409,24,Sim,Sim,Sim,https://repo/evid/154.jpg,2026-04-11,Rural,M,20,Superior,4500,23,2,3,3,2,Saúde,Água,
155,UUID-1155,v2.4,Completa,2026-04-27,14:05,2026-04-21,11:56,21,São Miguel do Norte,310007,São José,SM07,Polo 3,B3,João,Júlia,Lia,-18.0496917236399,-43.3817193990164,20,Sim,Sim,Sim,https://repo/evid/155.jpg,2026-04-27,Urbana,F,52,Superior,2500,29,3,5,3,1,Água,Transporte,
156,UUID-1156,v2.4,Completa,2026-04-18,16:46,2026-04-19,08:58,41,Santa Aurora,310002,Lagoa,SA02,Polo 3,B5,Paula,Pedro,Bruno,-18.9561483390895,-43.1017183910942,11,Sim,Sim,Sim,https://repo/evid/156.jpg,2026-04-20,Urbana,F,42,Fundamental,4500,35,2,1,3,2,Educação,Emprego,
